reply_id,parent_comment_id,author_channel_id,published_at,updated_at,reply_like_count,text,video_id,sent_compound
UgzyZCN4CExqjZBDWbx4AaABAg.AIZ9dKWGqdAAIZO9Q1Fz38,UgzyZCN4CExqjZBDWbx4AaABAg,UCLWbNOoAqlftFAlWxvGUupA,2025-05-25T21:36:42Z,2025-05-25T21:36:42Z,4,Celebrate if he scores against us,m3cofWQwYUU,0.5719
UgzyZCN4CExqjZBDWbx4AaABAg.AIZ9dKWGqdAAIZQqPElkau,UgzyZCN4CExqjZBDWbx4AaABAg,UCJx03Aycj2C7Q9zNLX0tv8w,2025-05-25T22:00:10Z,2025-05-25T22:00:10Z,8,Naive fans like you will make Perez eventually monopolize the game.,m3cofWQwYUU,-0.1027
UgzyZCN4CExqjZBDWbx4AaABAg.AIZ9dKWGqdAAIZUagJp7Da,UgzyZCN4CExqjZBDWbx4AaABAg,UC154_YwBbMUoFiuePWQyxJQ,2025-05-25T22:32:59Z,2025-05-25T22:32:59Z,8,​@MalikSamara77loyalty is more fans not players. Players do what they think is best for Their careers,m3cofWQwYUU,0.6369
UgzyZCN4CExqjZBDWbx4AaABAg.AIZ9dKWGqdAAIZWAxQECnf,UgzyZCN4CExqjZBDWbx4AaABAg,UCNOkRb1JKNsYWAcRxeuTd_g,2025-05-25T22:46:49Z,2025-05-25T22:46:49Z,8,​@MalikSamara77 i mean hes already won everything there. He dont owe yall anything,m3cofWQwYUU,0.5719
UgzyZCN4CExqjZBDWbx4AaABAg.AIZ9dKWGqdAAI_OZHiJUSp,UgzyZCN4CExqjZBDWbx4AaABAg,UClUDrEgUTTd15raO4tLGQ-Q,2025-05-26T06:59:28Z,2025-05-26T06:59:28Z,0,"​@Jebronjarden no , that's a lame excuse",m3cofWQwYUU,-0.5719
UgzyZCN4CExqjZBDWbx4AaABAg.AIZ9dKWGqdAAI_SFHXiw8R,UgzyZCN4CExqjZBDWbx4AaABAg,UCNOkRb1JKNsYWAcRxeuTd_g,2025-05-26T07:31:41Z,2025-05-26T07:31:41Z,0,"​@filthy_pirate35 its not an excuse its a fact, he has every right to leave",m3cofWQwYUU,-0.1083
UgzyZCN4CExqjZBDWbx4AaABAg.AIZ9dKWGqdAAI_UmpmH6eE,UgzyZCN4CExqjZBDWbx4AaABAg,UCTKkNtt6AhPCKss5bYbT-Jw,2025-05-26T07:53:53Z,2025-05-26T07:53:53Z,0,Sad trent ❤❤❤❤,m3cofWQwYUU,0.9403
UgzyZCN4CExqjZBDWbx4AaABAg.AIZ9dKWGqdAAIalDNhz4sK,UgzyZCN4CExqjZBDWbx4AaABAg,UCZzprQQZNyJ3qzRB_mnf2SQ,2025-05-26T19:45:26Z,2025-05-26T19:45:26Z,0,Trent thats your own priscription..we cnt do nothing about it...,m3cofWQwYUU,0.0
UgzyZCN4CExqjZBDWbx4AaABAg.AIZ9dKWGqdAAIebS_NiPPX,UgzyZCN4CExqjZBDWbx4AaABAg,UCRTycQWxU1oatZgy_z1XDgA,2025-05-28T07:37:05Z,2025-05-28T07:37:05Z,1,@filthy_pirate35ur a shi fan then,m3cofWQwYUU,0.3182
UgzyZCN4CExqjZBDWbx4AaABAg.AIZ9dKWGqdAAIk5c2FJJUM,UgzyZCN4CExqjZBDWbx4AaABAg,UCm-bcTprjziQK8sOhGTGN-g,2025-05-30T10:45:36Z,2025-05-30T10:45:36Z,0,@MalikSamara77 cry more.,m3cofWQwYUU,-0.4767
